[INFO] sim.nodes.Node - T 0 N 0 success, transmitting 1.200592, tried 1 times
[INFO] sim.nodes.Node - T 0 N 1 success, transmitting 1.660288, tried 1 times
[INFO] sim.nodes.Node - T 0 N 2 success, transmitting 1.812741, tried 1 times
[INFO] sim.nodes.Node - T 0 N 3 success, transmitting 0.400091, tried 1 times
[INFO] sim.nodes.Node - T 1 N 0 success, transmitting 3.495652, tried 1 times
[INFO] sim.nodes.Node - T 1 N 1 success, transmitting 1.588497, tried 1 times
[INFO] sim.nodes.Node - T 1 N 2 success, transmitting 1.363066, tried 1 times
[INFO] sim.nodes.Node - T 1 N 3 success, transmitting 1.116035, tried 1 times
[INFO] sim.nodes.Node - T 2 N 0 success, transmitting 4.190804, tried 1 times
[INFO] sim.nodes.Node - T 2 N 1 success, transmitting 4.060050, tried 1 times
[INFO] sim.nodes.Node - T 2 N 2 success, transmitting 3.140368, tried 1 times
[INFO] sim.nodes.Node - T 2 N 3 success, transmitting 2.389408, tried 1 times
[INFO] sim.nodes.Node - T 3 N 0 success, transmitting 4.704429, tried 1 times
[INFO] sim.nodes.Node - T 3 N 1 success, transmitting 3.220333, tried 1 times
[INFO] sim.nodes.Node - T 3 N 2 success, transmitting 2.674425, tried 1 times
[INFO] sim.nodes.Node - T 3 N 3 success, transmitting 1.766624, tried 1 times
[INFO] sim.nodes.Node - T 4 N 0 success, transmitting 6.035161, tried 1 times
[INFO] sim.nodes.Node - T 4 N 1 success, transmitting 4.228277, tried 1 times
[INFO] sim.nodes.Node - T 4 N 2 success, transmitting 4.456838, tried 1 times
[INFO] sim.nodes.Node - T 4 N 3 success, transmitting 4.518167, tried 1 times
[INFO] sim.nodes.Node - T 5 N 0 success, transmitting 6.283329, tried 1 times
[INFO] sim.nodes.Node - T 5 N 1 success, transmitting 4.111560, tried 1 times
[INFO] sim.nodes.Node - T 5 N 2 success, transmitting 4.515656, tried 1 times
[INFO] sim.nodes.Node - T 5 N 3 success, transmitting 4.781564, tried 1 times
[INFO] sim.nodes.Node - T 6 N 0 success, transmitting 7.793027, tried 1 times
[INFO] sim.nodes.Node - T 6 N 1 success, transmitting 6.317296, tried 1 times
[INFO] sim.nodes.Node - T 6 N 2 success, transmitting 5.884698, tried 1 times
[INFO] sim.nodes.Node - T 6 N 3 success, transmitting 6.695366, tried 1 times
